objectid,filename,title,creator,editor,publisher,location,latitude,longitude,date,subject,description,source,identifier,format,language,rights,rightsstatement
W.2005.1.11,W.2005.1.11.jpg,Seven: the Ballad of the Sad Cafe,Carson McCullers, ,Bantam Books,"New York, NY",40.712776,-74.005974,1954,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.11,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.12,W.2005.1.12.jpg,The Sacred Fount,Henry James, Leon Edel,Grove Press,"New York, NY ",40.712776,-74.005974,1953,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.12,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.13,W.2005.1.13.jpg,Five Stories,Willa Cather, ,Vintage Books,"New York, NY ",40.712776,-74.005974,1956,Fiction, Note: White business card for William Cole (page 38).,Mississippi Department of Archives and History,W. 2005.1.13,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.14,W.2005.1.14.jpg,Candide: or The Optimist,Voltaire, ,Modern Library,"New York, NY ",40.712776,-74.005974,1918,Fiction,Eudora Welty 1928 Note: ,Mississippi Department of Archives and History,W. 2005.1.14,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.15,W.2005.1.15.jpg,Other Voices Other Rooms,Truman Capote, ,Signet Books,"Toronto, Canada",43.653225,-79.383186,1968,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005. 1.15,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.16,W.2005.1.16.jpg,South Wind,Norman Douglas, ,The Modern Library,"New York, NY ",40.712776,-74.005974,1925,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.16,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.17,W.2005.1.17.jpg,The Decameron of Giovanni Boccaccio,Giovanni Boccacio, ,J.M Dent & Sons; E.P. Dutton & Co.,"London, England",51.507351,-0.127758,1941,Fiction,Note: This book is a part of the Everymans Library Series.,Mississippi Department of Archives and History,W.2005.1.17,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.18,W.2005.1.18.jpg,Hemingway,Ernest Hemingway,Malcolm Cowley,Viking Press,"New York, NY ",40.712776,-74.005974,1944,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.18,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.19,W.2005.1.19.jpg,Katherine Anne Porter:  A Collection of Critical Essays,Katherine Anne Porter,Robert Penn Warren,"Prentice Hall, Englewood Cliffs","Englewood Cliffs, New Jersey",40.88052,-73.95126,1979,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.19,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.20,W.2005.1.20.jpg,Experiences of an Irish R.M .,"E.CE Somerville, Martin Ross", ,J.M Dent & Sons; E.P. Dutton & Co.,"London, England",51.507351,-0.127758,1963,Fiction," Note: 3 pages of a handwritten story with a character named ""Hip"" found at end of book.",Mississippi Department of Archives and History,W.2005.1.20,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.21,W.2005.1.21.jpg,A Defense of Circe,Katherine Anne Porter, ,"Harcourt, Brace","New York, NY ",40.712776,-74.005974,1954,, Note: ,Mississippi Department of Archives and History,W.2005.1.21,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.22,W.2005.1.22.jpg,The Portable Conrad,Joesph Conrad,Morton Dauwen Zabel,Viking Press,"New York, NY ",40.712776,-74.005974,1963,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.22,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.23,W.2005.1.23.jpg,The Common Thread: A Book of Stories,Michael Seide, ,"Harcourt, Brace","New York, NY ",40.712776,-74.005974,1975,Fiction,"""For Eudora  - In appreciation of a most cherished friendship"" - Mike Note: ",Mississippi Department of Archives and History,W.2005.1.23,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.24,W.2005.1.24.jpg,Clarissa: The History of Clarissa Harlowe,Samuel Richardson, John Angus Burrell,Random House,"New York, NY",40.712776,-74.005974,1950,Fiction,Note: This book is a part of the Modern Library Series.,Mississippi Department of Archives and History,W.2005.1.24,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.25,W.2005.1.25.jpg,Selected Stories of Eudora Welty,Eudora Welty, ,The Modern Library,"New York, NY",40.712776,-74.005974,1954,Fiction,"Proofreading marks in pen and pencil throughout. Eudora Welty signature on title page in pencil, "" 153 back "" handwritten on title page; 1st page Eudora Welty signature in pen on last blank page in pencil ""Trip Expenses Phila, '62 BUS.R.T. Train, R.T. 136.81 Taxis 1.75, meals, train (3.00, 2.30) Tips 1.50. Note: Intro by Katherine Anne Porter",Mississippi Department of Archives and History,W.2005.1.25,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.26,W.2005.1.26.jpg,"One Time, One Place",Eudora Welty, ,Random House,"New York, NY",40.712776,-74.005974,1971,Photography, Note: ,Mississippi Department of Archives and History,W.2005.1.26,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.27,W.2005.1.27.jpg,Losing Battles,Eudora Welty, ,Random House,"New York, NY",40.712776,-74.005974,1971,Fiction, Note: Last novel,Mississippi Department of Archives and History,W.2005.1.27,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.28,W.2005.1.28.jpg,Ancestors,William Maxwell, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1971,Non-fiction," ""May 27, 1971 / Eudora with love from / Bill"" Note: ",Mississippi Department of Archives and History,W.2005.1.28,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.29,W.2005.1.29.jpg,The Eye of Story: Selected Essays and Reviews,Eudora Welty, ,Random House,"London, England",51.507351,-0.127758,1978,Non-fiction, Note: Lemuria sticker on title page,Mississippi Department of Archives and History,W.2005.1.29,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.30,W.2005.1.30.jpg,The Robber Bridegroom,Eudora Welty, ,"Harcourt, Brace, and Company","New York, NY",40.712776,-74.005974,1942,Fiction, Note: Pages marked throughout,Mississippi Department of Archives and History,W.2005.1.30,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.31,W.2005.1.31.jpg,The Bride of the Innisfallen and Other Stories,Eudora Welty, ,"Harcourt, Brace, and Company","New York, NY",40.712776,-74.005974,1955,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.31,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.32,W.2005.1.32.jpg,The Eye of Story: Selected Essays and Reviews,Eudora Welty, ,Random House,"New York, NY ",40.712776,-74.005974,1978,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.32,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.33,W.2005.1.33.jpg,The Golden Apples,Eudora Welty, ,"Harcourt, Brace, and Company","New York, NY",40.712776,-74.005974,1949,Fiction," Note: Christmas card located inside back cover. Front has ""Season's Greetings"" ""Penny Fitzgerald"". Inside has an excerpt from a letter from Robert Fitzgerald to William Maxwell.  ",Mississippi Department of Archives and History,W.2005.1.33,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.34,W.2005.1.34.jpg,The Folded Leaf,William Maxwell, ,Harper & Brothers,"New York, NY",40.712776,-74.005974,1945,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.34,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.35,W.2005.1.35.jpg,They Came Like Swallows,William Maxwell, ,Vintage Books,"New York, NY",40.712776,-74.005974,1960,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.35,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.36,W.2005.1.36.jpg,The Robber Bridegroom,Eudora Welty, ,"Doubleday, Doran & Co.,Inc.,","Garden City, New York",40.728657,-73.631744,1948,Fiction, Note: Back of book contains advertisement to buy war bonds,Mississippi Department of Archives and History,W.2005.1.36,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.37,W.2005.1.37.jpg,The Wide Net and Other Stories,Eudora Welty, ,"Harcourt, Brace, and Company","New York, NY",40.712776,-74.005974,1943,Fiction," Note: Page 57 crossed out. p. 64 ""lighted ox"" marked through and ""skimmed"" added with line at bottom of page under slight pencil.",Mississippi Department of Archives and History,W.2005.1.37,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.38,W.2005.1.38.jpg,Delta Wedding,Eudora Welty, ,"Harcourt, Brace, and Company","New York, NY",40.712776,-74.005974,1946,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.38,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.39,W.2005.1.39.jpg,A Curtain of Green,Eudora Welty, ,"Doubleday, Doran & Co.,Inc.,","Garden City, New York",40.728119,-73.635078,1941,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.39,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.40,W.2005.1.40.jpg,Private Contentment: A Play,Reynolds Price, ,Atheneum,"New York, NY",40.712776,-74.005974,1984,Fiction," ""for Eudora with/ all but thirty years of happy/ memories as with the/ best love/ from/ illegible signature. Note: ",Mississippi Department of Archives and History,W.2005.1.40,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.41,W.2005.1.41.jpg,Uncle Valentine and Other Stories,"Willa Cather, Bernice Slote", ,University of Nebraska Press,"Lincoln, NE",40.8088861,-96.7077751,1975,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.41,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.42,W.2005.1.42.jpg,A Curtain of Green and Other Stories,Eudora Welty, ,"Harcourt, Brace, and Jovanovich","New York, NY",40.712776,-74.005974,1979,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.42,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.43,W.2005.1.43.jpg,The Collected Essays and Occasional Writings of Katherine Anne Porter,Katherine Anne Porter,,Delacorte Press,"New York, NY",40.712776,-74.005974,1970,Anthology,"""For Eudora my changeless dearly loved friend from all these changing  years, whose genius and human tenderness blown fresh as spring in all seasons.  Katherine Anne Porter 6 July, 1970.  The heart  has its reason which reason does not know. Note: ",Mississippi Department of Archives and History,W.2005.1.43,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.44,W.2005.1.44.jpg,The Widows of Thornton,Peter Taylor, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1954,Fiction,"

On first page in cursive, ""Eudora Welty.""  Eudora Welty's signature is on last page, upside down. Note: ",Mississippi Department of Archives and History,W.2005.1.44,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.45,W.2005.1.45.jpg,Happy Families are all Alike,Peter Taylor, ,"McDowell, Obolensky","New York, NY",40.712776,-74.005974,1959,Fiction,"For Eudora with love from Frank April 13, 1960"" Note: ",Mississippi Department of Archives and History,W.2005.1.45,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.46,W.2005.1.46.jpg,Five Stories,"Willa Cather, George N. Kates", ,Vintage Books,"New York, NY",40.712776,-74.005974,1956,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005 1.46,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.47,W.2005.1.47.jpg,Early Stories of Willa Cather,"Willa Cather, Mildred R. Bennett", ,"Dodd, Mead, & Company","New York, NY",40.712776,-74.005974,1983,Fiction, Note: Commentary by,Mississippi Department of Archives and History,W.2005.1.47,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.48,W.2005.1.48.jpg,A Lost Lady,Willa Cather, ,Borzoi Books-Knopf,"New York, NY ",40.712776,-74.005974,1969,Fiction, Note: ,Mississippi Department of Archives and History,W.2005. 1.48,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.49,W.2005.1.49.jpg,On Writing,Willa Cather, ,Borzoi Books-Knopf,"New York, NY ",40.712776,-74.005974,1968,Non-fiction,"""To Eudora/from Stephen/September, 1949.""  Note: ",Mississippi Department of Archives and History,W.2005 1.49,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.50,W.2005.1.50.jpg,Willa Cather in Europe: Her Own Story of the First Journey,"Willa Cather, George N. Kates", ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1956,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005. 1.50,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.51,W.2005.1.51.jpg,Not Under Forty,Willa Cather, ,Borzoi Books-Knopf,"New York, NY",40.172776,-74.005974,1970,Non-fiction,"""R/L"" inside front jacket; ""77, 78, 79, 80"" written on last page. Note: 

Papers were found in between pages 16 and 17, 18 and 19, and 86 and 87.  ",Mississippi Department of Archives and History,W.2005. 1.51,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.52,W.2005.1.52.jpg,The Source of Light,Reynolds Price, ,Scribner Paperback Fiction,"New York, NY",40.712776,-74.005974,1995,Fiction,For Eudora/ With love for her/ life and works/ Love Reynolds/ 8 April 1983 Note: ,Mississippi Department of Archives and History,W.2005.1.52,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.53,W.2005.1.53.jpg,Vital Provisions,Reynolds Price, , Atheneum Books,"New York, NY",40.712776,-74.005974,1982,Poetry,For Eudora/ with long years of/ happy memory and/ many more of hope/ and the best love from/ Reynolds Price/ 29 Oct 82 Note: ,Mississippi Department of Archives and History,W2005.1.53,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.54,W.2005.1.54.jpg,A Palpable God,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1978,Religous,"For Eudora, in the memory/ of many happy days and many/ blessings, with the best love/ from Reynolds/ 17-?-78 Note: ",Mississippi Department of Archives and History,W.2005.1.54,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.55,W.2005.1.55.jpg,A Generous Man,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1966,Fiction,"Eudora- In recollection of loyalty and much laughter with thanks for a flawless example and with best love, strongest hope/ from/ Reynolds/ 12 February 1966 Note: ",Mississippi Department of Archives and History,W.2005.1.55,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.56,W.2005.1.56.jpg,The Good News According to Mark,Reynolds Price, ,,,,,1976,Religous,for Eudora/ with love as (word illegible)/ 2 all the warm good hopes at Christmas/ from/ Reynolds/ 1976 Note: ,Mississippi Department of Archives and History,W.2005.1.56,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.57,W.2005.1.57.jpg,Things Themselves,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1972,Non-fiction,"To Eudora - Who has provided morals? In every good send, for more than one of these pieces - and for much more than these.  WIth best love and thanks/ from Reynolds Price/ 29 April 1972 Note: ",Mississippi Department of Archives and History,W.2005.1.57,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.58,W.2005.1.58.jpg,Love and Work,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1968,Fiction,"Inscription on the title page reads: Eudora/ The happiest memories,/ best thanks,/ best hopes,/ love Reynolds/ 4 April 68 Note: ",Mississippi Department of Archives and History,W..2005.1.58,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.59,W.2005.1.59.jpg,Bright Center of Heaven,William Maxwell, ,Harper & Bros.,"New York, NY",40.712776,-74.005974,1934,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.59,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.60,W.2005.1.60.jpg,A Long and Happy Life,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1962,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.60,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.61,W.2005.1.61.jpg,Over by the River,William Maxwell, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1977,Fiction,For- to put it quite simply - as/ my aunts used to do - for my Eudora/ Bill/ October 1977 Note: ,Mississippi Department of Archives and History,W.2005.1.61,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.62,W.2005.1.62.jpg,Time Will Darken It,William Maxwell, ,Harper & Bros.,"New York, NY",40.712776,-74.005974,1992,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005.1.62,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.63,W.2005.1.63.jpg,The Chateau,William Maxwell, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1961,Fiction,"""March 1961 / Eudora from Bill, / devotedly."" Note: ",Mississippi Department of Archives and History,W.2005.1.63,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.64,W.2005.1.64.jpg,The Surface of Earth,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1975,Fiction,"""for Eudora / with love & hope / from Reynolds / 2 June 75"" Note: ",Mississippi Department of Archives and History,W.2005.1.64,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.65,W.2005.1.65.jpg,The Thanatos Syndrome,Walker Percy, ,,,,,1995,Fiction,"""for Eudora - / from a old friend / Walker"" Note: Signed",Mississippi Department of Archives and History,W. 2005.1.65,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.66,W.2005.1.66.jpg,Early Dark,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.66,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.67,W.2005.1.67.jpg,The Names and Faces of Heroes,Reynolds Price, ,Ballantine Books,"New York, NY",40.712776,-74.005974,1963,Fiction,"Eudora, who saw most of those(?) at the start, with love and loving thanks from Reynolds. - Durham 25 May 63 Note: ",Mississippi Department of Archives and History,W.2005.1.67,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.68,W.2005.1.68.jpg,Oracles: Six Versions from the Bible,"Reynolds Price, Jacob Roquet", ,Friends of Duke University Library,"Durham, NC",35.995929,-78.899109,1977,,"For Eudora as we go to Oxford with the best love from Reynolds - xi-77

 Note: ""Edition of 300 copies each signed and numbered ... no. 258.""",Mississippi Department of Archives and History,W.2005.1.68,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.69,W.2005.1.69.jpg,Nine Mysteries,Reynolds Price, ,Palaemon Press,"Winston-Salem, NC",36.116161,-80.184853,1979,Poetry,"""for Eudora, as though it were Christmas 1975, with as much love as ever.  from Reynolds"" Note: ""This first edition ... is limited to 309 signed copies. Nine specially bound copies, each with a drawing by the author, are lettered A-I. Christmas 1979""",Mississippi Department of Archives and History,W.2005.1.69,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.70,W.2005.1.70.jpg,Mustian,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1983,Fiction,"""for Eudora with long years of good memory, thanks, and love from Reynolds 4-83"" Note: Unmailed postcard inside. Marx Brothers postcard to Eudora on her birthday. Durham, 6 Apr. 83 from Reynolds Price.",Mississippi Department of Archives and History,W.2005.1.70,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.71,W.2005.1.71.jpg,Permanent Errors,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1970,Fiction,"""Thankfully and with love from Reynolds"" Orange County 21 August 1970 Note: Contained Christmas card to Eudora Welty from Reynolds Price sent through mail. Card is from 1972, Fourth Eclogue of Vergil translated by Reynolds Price for his friends.",Mississippi Department of Archives and History,W.2005.1.71,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.72,W.2005.1.72.jpg,The Never-Ending Wrong,Katherine Anne Porter, ,Atlantic-Little Brown,"Boston, MA",42.360256,-71.057281,1977,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005 1.72,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.73,W.2005.1.73.jpg,The Poison Tree,Walter Clemons, ,Houghton Mifflin,"Boston, MA",42.360256,-71.057281,1959,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.73,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.74,W.2005.1.74.jpg,Searching for Caleb,Anne Tyler, ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1996,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.74,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.75,W.2005.1.75.jpg,A Piece of My Heart,Richard Ford, ,Harper & Row,"New York, NY",40.712776,-74.005974,1985,Fiction,"or Eudora Welty/ with affection &/ with my lifetime/ admiration and gratitude/ to you for your work/ Richard

 Note: ",Mississippi Department of Archives and History,W.2005.1.75,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.76,W.2005.1.76.jpg,The Days Before,Katherine Anne Porter, ,"Harcourt, Brace, & Company","New York, NY",40.712776,-74.005974,1952,Non-fiction,"Dear Eudora, this is/ for  remembrance? house?/ and any same affection/ Katherine Anne/ 28 September 1952/ New York Note: ",Mississippi Department of Archives and History,W.2005.1.76,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.77,W.2005.1.77.jpg,The Salt Line,Elizabeth Spencer, ,DoubleDay,"Garden City, New York",40.728657,-73.631744,1995,Fiction," Note: Card from Lemuria Bookstore, in between pages 208 & 209",Mississippi Department of Archives and History,W.2005.1.77,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.78,W.2005.1.78.jpg,The Sportswriter,Richard Ford, ,Vintage Books,"New York, NY",40.712776,-74.005974,1986,Fiction," For Reynolds Price, with old admiration for your work. Richard Ford  March 22, 1986

 Note: ",Mississippi Department of Archives and History,W.2005.1.78,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
W.2005.1.79,W.2005.1.79.jpg,Ship Island and Other Stories,Elizabeth Spencer, ,McGraw-Hill,"New York, NY",40.712776,-74.005974,1969,Fiction," Book is dedicated to Eudora Welty. 

Inscription on dedication page: -a great writer - and/ friend, besides/ with love,/ Elizabeth/ 4 Oct. 1968/ Montreal Note: ",Mississippi Department of Archives and History,W.2005.1.79,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
