objectid,archiveid,filename,filename_real,title,creator,editor,publisher,location,latitude,longitude,date,subject,description,source,identifier,format,language,rights,rightsstatement
coll045,W.2005.1.45,test.jpg,W.2005.1.45.jpg,Happy Families are all Alike,Peter Taylor, ,"McDowell, Obolensky","New York, NY",40.712776,-74.005974,1959,Fiction,"For Eudora with love from Frank April 13, 1960"" Note: ",Mississippi Department of Archives and History,W.2005.1.45,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll046,W.2005.1.46,test.jpg,W.2005.1.46.jpg,Five Stories,"Willa Cather, George N. Kates", ,Vintage Books,"New York, NY",40.712776,-74.005974,1956,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005 1.46,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll047,W.2005.1.47,test.jpg,W.2005.1.47.jpg,Early Stories of Willa Cather,"Willa Cather, Mildred R. Bennett", ,"Dodd, Mead, & Company","New York, NY",40.712776,-74.005974,1983,Fiction, Note: Commentary by,Mississippi Department of Archives and History,W.2005.1.47,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll048,W.2005.1.48,test.jpg,W.2005.1.48.jpg,A Lost Lady,Willa Cather, ,Borzoi Books-Knopf,"New York, NY ",40.712776,-74.005974,1969,Fiction, Note: ,Mississippi Department of Archives and History,W.2005. 1.48,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll049,W.2005.1.49,test.jpg,W.2005.1.49.jpg,On Writing,Willa Cather, ,Borzoi Books-Knopf,"New York, NY ",40.712776,-74.005974,1968,Non-fiction,"""To Eudora/from Stephen/September, 1949.""  Note: ",Mississippi Department of Archives and History,W.2005 1.49,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll050,W.2005.1.50,test.jpg,W.2005.1.50.jpg,Willa Cather in Europe: Her Own Story of the First Journey,"Willa Cather, George N. Kates", ,Alfred A. Knopf,"New York, NY",40.712776,-74.005974,1956,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005. 1.50,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll051,W.2005.1.51,test.jpg,W.2005.1.51.jpg,Not Under Forty,Willa Cather, ,Borzoi Books-Knopf,"New York, NY",40.172776,-74.005974,1970,Non-fiction,"""R/L"" inside front jacket; ""77, 78, 79, 80"" written on last page. Note: 

Papers were found in between pages 16 and 17, 18 and 19, and 86 and 87.  ",Mississippi Department of Archives and History,W.2005. 1.51,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll052,W.2005.1.52,test.jpg,W.2005.1.52.jpg,The Source of Light,Reynolds Price, ,Scribner Paperback Fiction,"New York, NY",40.712776,-74.005974,1995,Fiction,For Eudora/ With love for her/ life and works/ Love Reynolds/ 8 April 1983 Note: ,Mississippi Department of Archives and History,W.2005.1.52,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll053,W.2005.1.53,test.jpg,W.2005.1.53.jpg,Vital Provisions,Reynolds Price, , Atheneum Books,"New York, NY",40.712776,-74.005974,1982,Poetry,For Eudora/ with long years of/ happy memory and/ many more of hope/ and the best love from/ Reynolds Price/ 29 Oct 82 Note: ,Mississippi Department of Archives and History,W2005.1.53,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll054,W.2005.1.54,test.jpg,W.2005.1.54.jpg,A Palpable God,Reynolds Price, ,Atheneum Books,"New York, NY",40.712776,-74.005974,1978,Religous,"For Eudora, in the memory/ of many happy days and many/ blessings, with the best love/ from Reynolds/ 17-?-78 Note: ",Mississippi Department of Archives and History,W.2005.1.54,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
